name,address,city,zip_code,latitude,longitude,visited,visited_date
Eastgate Park,14500 SE Newport Way,Bellevue,98006,47.569952183997,-122.14597025947,N,
Eastlake Triangle,10th Ave E & E Prospect St,Seattle,98109,47.62841,-122.328918,N,
Eastmont Place,2201 Westmont Way W,Seattle,98199,47.637689,-122.405566,N,
Eastside Off-Leash Area,1902 NE 150th St,Shoreline,,47.739497422565925,-122.30797368219172,N,
Echo Lake Park,1521 N 200th St,Shoreline,,47.773133696839636,-122.34118097107317,N,
Echo Lake Park West,,Shoreline,,47.770909834017544,-122.3445905217715,N,
Eddie Vine Boat Ramp,8001 Seaview Ave NW,Seattle,98117,47.686852,-122.403454,N,
Edith Moulton Park,13634 108th Ave NE,Kirkland,,47.723492442657836,-122.19400580426756,N,
Edlund Property,17600 103rd Ave SE,Renton,,47.4437011,-122.20570882,N,
Edwin Pratt Memorial Park,,Shoreline,,47.76292629786763,-122.34125232172435,N,
Ella Bailey Park,2601 W Smith St,Seattle,98199,47.640584,-122.39106,N,
Emma Schmitz Memorial Overlook,4503 Beach Dr SW,Seattle,98116,47.562898,-122.40712,Y,
Enatai Beach Park,3519 108th Ave SE,Bellevue,98004,47.579799627551,-122.19745354233,N,
Enatai Neighborhood Park,10661 SE 25th St,Bellevue,98004,47.587494563896,-122.19739586827,N,
Endolyne Park,9827 49th Ave SW,Seattle,98116,47.514542,-122.39438,N,
Ercolini Park,4542 48th Ave SW,Seattle,98116,47.515021,-122.394275,N,
Esterra Park,Capstone,Redmond,,47.63498588379189,-122.13540003965042,N,
Everest Park,500 8th St S,Kirkland,,47.67115867192074,-122.19031638659196,N,
Evergreen Park,15655 Lake Hills Boulevard,Bellevue,98007,47.603418265809,-122.12889255947,N,
Fairmount Playfield,5400 Fauntleroy Way SW,Seattle,98136,47.554041,-122.380549,N,
Fairview Park,2900 Fairview Ave E,Seattle,98102,47.647413,-122.325368,N,
Fairview Walkway,1251 Fairview Ave. N,Seattle,98109,47.630501,-122.328967,N,
Fairweather Nature Preserve,Evergreen Point Road & NE 32nd St,Medina,98039,47.637691663888,-122.23508219252,N,
Farrel-McWhirter Park,19545 Redmond Road,Redmond,,47.695312840845425,-122.08135083192565,N,
Fauntleroy Creek Ravine,9102 Fauntleroy Way SW,Seattle,98136,47.522599,-122.392498,N,
Fauntleroy Park,3951 SW Barton St,Seattle,98136,47.5192,-122.383222,Y,
Fauntleroy Place,4501 Fauntleroy Way SW,Seattle,98126,47.562715,-122.379834,N,
Ferdinand Street Boat Ramp,5018 Lake Washington Blvd S,Seattle,98118,47.561358,-122.264912,Y,
Firehouse Mini Park,712 18th Ave,Seattle,98122,47.608448,-122.308558,N,
First Hill Park,1201 University St,Seattle,98101,47.611906,-122.325512,N,
First Hill Park,72nd Avenue SE,Mercer Island,98040,47.582421319447,-122.2434227693,N,
Fisk Family Park,212 6th St,Kirkland,,47.673817928870974,-122.19620205490709,N,
Flagpole Plaza,164th Avenue NE & Redmond Way,Redmond,,47.67448292614644,-122.1225576302099,N,
Fletcher Place,9285 Waters Ave S,Seattle,98118,47.519093,-122.261484,N,
Flo Ware Park,2800 S Jackson St,Seattle,98144,47.599557,-122.295868,N,
Forbes Creek Park,11615 NE 106th Ln,Kirkland,,47.69452980515083,-122.18595465637839,N,
Forbes Lake Park,9501 124th Ave NE,Kirkland,,47.68620156791152,-122.17752071286665,N,
Forest Glen Neighborhood Park,5911 Forest Drive SE,Bellevue,98006,47.545692037048,-122.14744024896,N,
Forest Hill Neighborhood Park,13232 SE 51st Pl,Bellevue,98006,47.557947208912,-122.16336482145,N,
Forest Ridge Mini Park,15439 SE 67th St,Bellevue,98006,47.541455401118,-122.13615536606,N,
Fort Dent Park,6800 Fort Dent Way,Tukwila,98188,47.467091216107,-122.247932652638,N,
Freeway Park - Jim Ellis Freeway Park,700 Seneca St,Seattle,98101,47.609472,-122.330904,N,
Fremont Canal Park,199 N Canal St,Seattle,98103,47.651802,-122.357864,Y,
Fremont Peak Park,4357 Palatine Ave N,Seattle,98103,47.661108,-122.356671,N,
Frink Park,398 Lake Washington Blvd S,Seattle,98144,47.599506,-122.290256,N,
Froula Playground,7200 12th Ave NE,Seattle,98115,47.680538,-122.313978,N,
